"Country Name";"Country Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Costa Rica";"CRI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91.32578";;;;;;;;;;"98";;;;;;;;;;"98";;"99.5";;;;
"Caribbean small states";"CSS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85.0763082533478";;;;;;;;;;"87.9573246172132";;;;;;;;;;"92.3823258075292";;"93.4561571853573";;;;
"Cuba";"CUB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92.86102";;;;;;;;;;"97";;;;;;;;;;"100";;"100";;;;
"Curacao";"CUW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Cayman Islands";"CYM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Cyprus";"CYP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96.36144";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Czech Republic";"CZE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Germany";"DEU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Djibouti";"DJI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"43.31567";;;;;;;;;;"46.15585";;;;;;;;;;"49.7";;"53.26256";;;;
"Dominica";"DMA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"83.56102";;;;;;;;;;"87.7";;;;;;;;;;"91.83897";;"92.66676";;;;
"Denmark";"DNK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Dominican Republic";"DOM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"78.2";;;;;;;;;;"90";;;;;;;;;;"98";;"98";;;;
"Algeria";"DZA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94.03774";;;;;;;;;;"98";;;;;;;;;;"99.3";;"100";;;;
"East Asia & Pacific (excluding high income)";"EAP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"86.1188025391055";;;;;;;;;;"91.3492293164762";;;;;;;;;;"94.7999973666419";;"95.7137845370688";;;;
"Early-demographic dividend";"EAR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"59.7501976291743";;;;;;;;;;"68.9799495868046";;;;;;;;;;"78.5167446717515";;"81.4148173288069";;;;
"East Asia & Pacific";"EAS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.4750608612025";;;;;;;;;;"92.1733262832102";;;;;;;;;;"95.290117557776";;"96.1185199973561";;;;
"Europe & Central Asia (excluding high income)";"ECA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98.1562868732242";;;;;;;;;;"99.194889901546";;;;;;;;;;"99.9436415358836";;"100";;;;
"Europe & Central Asia";"ECS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.1533659460221";;;;;;;;;;"99.6332492737996";;;;;;;;;;"99.9746988698146";;"100";;;;
"Ecuador";"ECU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"89";;;;;;;;;;"94";;;;;;;;;;"97";;"97.2";;;;
"Egypt, Arab Rep.";"EGY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95.5";;;;;;;;;;"97.7";;;;;;;;;;"99.6";;"100";;;;
"Euro area";"EMU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.9910460484802";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Eritrea";"ERI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.9";;;;;;;;;;"32.2";;;;;;;;;;"32.5";;"36.0768";;;;
"Spain";"ESP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Estonia";"EST";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Ethiopia";"ETH";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"10";;;;;;;;;;"12.7";;;;;;;;;;"23";;"26.56256";;;;
"European Union";"EUU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.994164377167";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Fragile and conflict affected situations";"FCS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"33.529694239432";;;;;;;;;;"36.5648462184016";;;;;;;;;;"39.5741679824507";;"41.8598783089609";;;;
"Finland";"FIN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Fiji";"FJI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"France";"FRA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
